semester,hallticket,subject_code,subject_name,internal_marks,external_marks,total,cgpa,grade,credits
Semester 2,246BIA73041,CS302,Computer Networks,37,44,81,8.4,A,4
Semester 2,246BIA73041,CS303,Software Engineering,47,50,97,8.8,A,4
Semester 2,246BIA73041,CS304,Artificial Intelligence,29,35,64,7.4,B+,4
Semester 2,246BIA73042,CS101,Mathematics,25,35,60,6.4,B,4
Semester 2,246BIA73042,CS102,Physics,49,39,88,9.2,A+,4
Semester 2,246BIA73042,CS103,Chemistry,39,30,69,7.8,B+,4
Semester 2,246BIA73042,CS201,Data Structures,31,43,74,8.1,A,4
Semester 2,246BIA73042,CS202,Operating Systems,32,35,67,6.5,B,4
Semester 2,246BIA73042,CS203,Database Systems,28,25,53,4.5,C,4
Semester 2,246BIA73042,CS301,Machine Learning,32,39,71,6.8,B,4
Semester 2,246BIA73042,CS302,Computer Networks,42,31,73,7.5,B+,4
Semester 2,246BIA73042,CS303,Software Engineering,42,46,88,8.9,A,4
Semester 2,246BIA73042,CS304,Artificial Intelligence,35,45,80,7.9,B+,4
Semester 2,246BIA73043,CS101,Mathematics,48,36,84,8.4,A,4
Semester 2,246BIA73043,CS102,Physics,27,41,68,6.7,B,4
Semester 2,246BIA73043,CS103,Chemistry,39,27,66,6.7,B,4
Semester 2,246BIA73043,CS201,Data Structures,31,43,74,8.4,A,4
Semester 2,246BIA73043,CS202,Operating Systems,48,31,79,6.9,B,4
Semester 2,246BIA73043,CS203,Database Systems,48,49,97,9.8,A+,4
Semester 2,246BIA73043,CS301,Machine Learning,42,48,90,10.0,A+,4
Semester 2,246BIA73043,CS302,Computer Networks,47,37,84,8.5,A,4
Semester 2,246BIA73043,CS303,Software Engineering,29,42,71,8.0,A,4
Semester 2,246BIA73043,CS304,Artificial Intelligence,30,27,57,5.8,C+,4
Semester 2,246BIA73044,CS101,Mathematics,29,44,73,6.7,B,4
Semester 2,246BIA73044,CS102,Physics,37,38,75,7.4,B+,4
Semester 2,246BIA73044,CS103,Chemistry,42,41,83,9.1,A+,4
Semester 2,246BIA73044,CS201,Data Structures,33,48,81,7.3,B+,4
Semester 2,246BIA73044,CS202,Operating Systems,33,39,72,6.8,B,4
Semester 2,246BIA73044,CS203,Database Systems,36,50,86,7.9,B+,4
Semester 2,246BIA73044,CS301,Machine Learning,29,28,57,6.3,B,4
Semester 2,246BIA73044,CS302,Computer Networks,38,28,66,5.8,C+,4
Semester 2,246BIA73044,CS303,Software Engineering,36,25,61,6.6,B,4
Semester 2,246BIA73044,CS304,Artificial Intelligence,30,41,71,8.0,A,4
Semester 2,246BIA73045,CS101,Mathematics,37,42,79,7.5,B+,4
Semester 2,246BIA73045,CS102,Physics,37,43,80,7.0,B+,4
Semester 2,246BIA73045,CS103,Chemistry,39,31,70,6.4,B,4
Semester 2,246BIA73045,CS201,Data Structures,41,48,89,9.0,A+,4
Semester 2,246BIA73045,CS202,Operating Systems,33,50,83,7.4,B+,4
Semester 2,246BIA73045,CS203,Database Systems,47,49,96,9.1,A+,4
Semester 2,246BIA73045,CS301,Machine Learning,43,35,78,7.9,B+,4
Semester 2,246BIA73045,CS302,Computer Networks,29,42,71,7.6,B+,4
Semester 2,246BIA73045,CS303,Software Engineering,42,33,75,8.2,A,4
Semester 2,246BIA73045,CS304,Artificial Intelligence,27,27,54,5.9,C+,4
Semester 2,246BIA73046,CS101,Mathematics,27,41,68,5.9,C+,4
Semester 2,246BIA73046,CS102,Physics,38,43,81,8.9,A,4
Semester 2,246BIA73046,CS103,Chemistry,42,50,92,9.2,A+,4
Semester 2,246BIA73046,CS201,Data Structures,29,38,67,6.6,B,4
Semester 2,246BIA73046,CS202,Operating Systems,45,28,73,7.8,B+,4
Semester 2,246BIA73046,CS203,Database Systems,48,29,77,8.7,A,4
Semester 2,246BIA73046,CS301,Machine Learning,33,50,83,9.1,A+,4
Semester 2,246BIA73046,CS302,Computer Networks,49,33,82,9.0,A+,4
Semester 2,246BIA73046,CS303,Software Engineering,33,42,75,8.4,A,4
Semester 2,246BIA73046,CS304,Artificial Intelligence,45,47,92,8.6,A,4
Semester 2,246BIA73047,CS101,Mathematics,46,49,95,8.6,A,4
Semester 2,246BIA73047,CS102,Physics,42,35,77,8.4,A,4
Semester 2,246BIA73047,CS103,Chemistry,47,40,87,7.9,B+,4
Semester 2,246BIA73047,CS201,Data Structures,38,39,77,7.6,B+,4
Semester 2,246BIA73047,CS202,Operating Systems,37,48,85,8.9,A,4
Semester 2,246BIA73047,CS203,Database Systems,27,46,73,7.3,B+,4
Semester 2,246BIA73047,CS301,Machine Learning,29,49,78,7.1,B+,4
Semester 2,246BIA73047,CS302,Computer Networks,25,50,75,6.8,B,4
Semester 2,246BIA73047,CS303,Software Engineering,31,29,60,5.6,C+,4
Semester 2,246BIA73047,CS304,Artificial Intelligence,28,49,77,7.0,B+,4
Semester 2,246BIA73048,CS101,Mathematics,39,32,71,7.9,B+,4
Semester 2,246BIA73048,CS102,Physics,32,41,73,7.0,B+,4
Semester 2,246BIA73048,CS103,Chemistry,43,37,80,7.0,B+,4
Semester 2,246BIA73048,CS201,Data Structures,32,30,62,6.1,B,4
Semester 2,246BIA73048,CS202,Operating Systems,33,45,78,7.7,B+,4
Semester 2,246BIA73048,CS203,Database Systems,42,31,73,7.7,B+,4
Semester 2,246BIA73048,CS301,Machine Learning,27,31,58,6.2,B,4
Semester 2,246BIA73048,CS302,Computer Networks,31,28,59,4.9,C,4
Semester 2,246BIA73048,CS303,Software Engineering,32,27,59,6.7,B,4
Semester 2,246BIA73048,CS304,Artificial Intelligence,36,44,80,7.5,B+,4
Semester 2,246BIA73049,CS101,Mathematics,36,31,67,6.3,B,4
Semester 2,246BIA73049,CS102,Physics,48,34,82,8.5,A,4
Semester 2,246BIA73049,CS103,Chemistry,46,49,95,9.0,A+,4
Semester 2,246BIA73049,CS201,Data Structures,46,36,82,9.0,A+,4
Semester 2,246BIA73049,CS202,Operating Systems,39,32,71,7.7,B+,4
Semester 2,246BIA73049,CS203,Database Systems,43,39,82,7.7,B+,4
Semester 2,246BIA73049,CS301,Machine Learning,34,28,62,6.3,B,4
Semester 2,246BIA73049,CS302,Computer Networks,31,35,66,6.5,B,4
Semester 2,246BIA73049,CS303,Software Engineering,37,37,74,8.1,A,4
Semester 2,246BIA73049,CS304,Artificial Intelligence,50,39,89,9.5,A+,4
Semester 2,246BIA73050,CS101,Mathematics,40,43,83,7.9,B+,4
Semester 2,246BIA73050,CS102,Physics,26,29,55,5.7,C+,4
Semester 2,246BIA73050,CS103,Chemistry,26,46,72,7.9,B+,4
Semester 2,246BIA73050,CS201,Data Structures,41,48,89,8.0,A,4
Semester 2,246BIA73050,CS202,Operating Systems,49,35,84,8.0,A,4
Semester 2,246BIA73050,CS203,Database Systems,41,34,75,7.8,B+,4
Semester 2,246BIA73050,CS301,Machine Learning,44,25,69,7.1,B+,4
Semester 2,246BIA73050,CS302,Computer Networks,32,33,65,6.0,B,4
Semester 2,246BIA73050,CS303,Software Engineering,33,47,80,7.6,B+,4
Semester 2,246BIA73050,CS304,Artificial Intelligence,47,25,72,6.2,B,4
Semester 2,246BIA73051,CS101,Mathematics,25,27,52,5.7,C+,4
Semester 2,246BIA73051,CS102,Physics,47,50,97,9.4,A+,4
Semester 2,246BIA73051,CS103,Chemistry,29,41,70,6.4,B,4
Semester 2,246BIA73051,CS201,Data Structures,40,41,81,7.2,B+,4
Semester 2,246BIA73051,CS202,Operating Systems,38,42,80,7.9,B+,4
Semester 2,246BIA73051,CS203,Database Systems,33,30,63,7.3,B+,4
Semester 2,246BIA73051,CS301,Machine Learning,30,39,69,7.3,B+,4
Semester 2,246BIA73051,CS302,Computer Networks,44,45,89,9.6,A+,4
Semester 2,246BIA73051,CS303,Software Engineering,27,39,66,7.4,B+,4
Semester 2,246BIA73051,CS304,Artificial Intelligence,48,27,75,7.7,B+,4
Semester 2,246BIA73052,CS101,Mathematics,38,34,72,8.0,A,4
Semester 2,246BIA73052,CS102,Physics,25,34,59,6.8,B,4
Semester 2,246BIA73052,CS103,Chemistry,36,41,77,8.1,A,4
Semester 2,246BIA73052,CS201,Data Structures,49,32,81,8.9,A,4
Semester 2,246BIA73052,CS202,Operating Systems,29,27,56,6.2,B,4
Semester 2,246BIA73052,CS203,Database Systems,34,42,76,7.2,B+,4
Semester 2,246BIA73052,CS301,Machine Learning,37,30,67,7.2,B+,4
Semester 2,246BIA73052,CS302,Computer Networks,44,30,74,6.8,B,4
Semester 2,246BIA73052,CS303,Software Engineering,46,36,82,7.2,B+,4
Semester 2,246BIA73052,CS304,Artificial Intelligence,50,43,93,10.0,A+,4
Semester 2,246BIA73053,CS101,Mathematics,48,42,90,9.1,A+,4
Semester 2,246BIA73053,CS102,Physics,43,32,75,8.1,A,4
Semester 2,246BIA73053,CS103,Chemistry,27,50,77,8.2,A,4
Semester 2,246BIA73053,CS201,Data Structures,27,28,55,5.0,C+,4
Semester 2,246BIA73053,CS202,Operating Systems,50,45,95,9.5,A+,4
Semester 2,246BIA73053,CS203,Database Systems,42,47,89,9.2,A+,4
Semester 2,246BIA73053,CS301,Machine Learning,48,34,82,8.0,A,4
Semester 2,246BIA73053,CS302,Computer Networks,44,25,69,7.2,B+,4
Semester 2,246BIA73053,CS303,Software Engineering,39,50,89,9.7,A+,4
Semester 2,246BIA73053,CS304,Artificial Intelligence,34,35,69,7.5,B+,4
Semester 2,246BIA73054,CS101,Mathematics,40,36,76,8.5,A,4
Semester 2,246BIA73054,CS102,Physics,42,48,90,9.0,A+,4
Semester 2,246BIA73054,CS103,Chemistry,37,35,72,6.5,B,4
Semester 2,246BIA73054,CS201,Data Structures,48,25,73,8.2,A,4
Semester 2,246BIA73054,CS202,Operating Systems,41,39,80,8.7,A,4
Semester 2,246BIA73054,CS203,Database Systems,36,26,62,5.5,C+,4
Semester 2,246BIA73054,CS301,Machine Learning,27,33,60,5.1,C+,4
Semester 2,246BIA73054,CS302,Computer Networks,25,48,73,8.0,A,4
Semester 2,246BIA73054,CS303,Software Engineering,42,35,77,8.3,A,4
Semester 2,246BIA73054,CS304,Artificial Intelligence,46,50,96,10.0,A+,4
Semester 2,246BIA73055,CS101,Mathematics,45,28,73,7.9,B+,4
Semester 2,246BIA73055,CS102,Physics,35,37,72,7.8,B+,4
Semester 2,246BIA73055,CS103,Chemistry,43,37,80,8.8,A,4
Semester 2,246BIA73055,CS201,Data Structures,49,33,82,8.4,A,4
Semester 2,246BIA73055,CS202,Operating Systems,30,29,59,5.8,C+,4
Semester 2,246BIA73055,CS203,Database Systems,43,41,84,7.7,B+,4
Semester 2,246BIA73055,CS301,Machine Learning,40,39,79,8.7,A,4
Semester 2,246BIA73055,CS302,Computer Networks,39,37,76,8.6,A,4
Semester 2,246BIA73055,CS303,Software Engineering,41,44,85,8.5,A,4
Semester 2,246BIA73055,CS304,Artificial Intelligence,35,50,85,9.0,A+,4
Semester 2,246BIA73056,CS101,Mathematics,46,41,87,8.3,A,4
Semester 2,246BIA73056,CS102,Physics,50,36,86,8.2,A,4
Semester 2,246BIA73056,CS103,Chemistry,28,28,56,5.0,C+,4
Semester 2,246BIA73056,CS201,Data Structures,33,25,58,5.6,C+,4
Semester 2,246BIA73056,CS202,Operating Systems,29,35,64,6.8,B,4
Semester 2,246BIA73056,CS203,Database Systems,26,38,64,7.2,B+,4
Semester 2,246BIA73056,CS301,Machine Learning,25,47,72,6.9,B,4
Semester 2,246BIA73056,CS302,Computer Networks,42,26,68,6.5,B,4
Semester 2,246BIA73056,CS303,Software Engineering,44,26,70,6.0,B,4
Semester 2,246BIA73056,CS304,Artificial Intelligence,42,25,67,6.8,B,4
Semester 2,246BIA73057,CS101,Mathematics,28,37,65,6.3,B,4
Semester 2,246BIA73057,CS102,Physics,32,30,62,6.3,B,4
Semester 2,246BIA73057,CS103,Chemistry,48,29,77,7.5,B+,4
Semester 2,246BIA73057,CS201,Data Structures,32,41,73,6.7,B,4
Semester 2,246BIA73057,CS202,Operating Systems,43,26,69,7.2,B+,4
Semester 2,246BIA73057,CS203,Database Systems,26,46,72,7.2,B+,4
Semester 2,246BIA73057,CS301,Machine Learning,33,29,62,7.1,B+,4
Semester 2,246BIA73057,CS302,Computer Networks,50,37,87,7.8,B+,4
Semester 2,246BIA73057,CS303,Software Engineering,39,31,70,6.9,B,4
Semester 2,246BIA73057,CS304,Artificial Intelligence,26,40,66,6.8,B,4
Semester 2,246BIA73058,CS101,Mathematics,38,40,78,7.1,B+,4
Semester 2,246BIA73058,CS102,Physics,39,38,77,6.8,B,4
Semester 2,246BIA73058,CS103,Chemistry,35,30,65,5.8,C+,4
Semester 2,246BIA73058,CS201,Data Structures,48,45,93,10.0,A+,4
Semester 2,246BIA73058,CS202,Operating Systems,25,50,75,6.8,B,4
Semester 2,246BIA73058,CS203,Database Systems,38,49,87,8.4,A,4
Semester 2,246BIA73058,CS301,Machine Learning,46,33,79,7.7,B+,4
Semester 2,246BIA73058,CS302,Computer Networks,49,41,90,9.2,A+,4
Semester 2,246BIA73058,CS303,Software Engineering,32,39,71,7.5,B+,4
Semester 2,246BIA73058,CS304,Artificial Intelligence,49,45,94,9.6,A+,4
Semester 2,246BIA73059,CS101,Mathematics,26,50,76,6.9,B,4
Semester 2,246BIA73059,CS102,Physics,26,42,68,7.3,B+,4
Semester 2,246BIA73059,CS103,Chemistry,49,41,90,9.2,A+,4
Semester 2,246BIA73059,CS201,Data Structures,29,33,62,6.4,B,4
Semester 2,246BIA73059,CS202,Operating Systems,29,33,62,6.4,B,4
Semester 2,246BIA73059,CS203,Database Systems,27,50,77,8.5,A,4
Semester 2,246BIA73059,CS301,Machine Learning,35,48,83,7.5,B+,4
Semester 2,246BIA73059,CS302,Computer Networks,27,32,59,5.9,C+,4
Semester 2,246BIA73059,CS303,Software Engineering,26,29,55,5.5,C+,4
Semester 2,246BIA73059,CS304,Artificial Intelligence,26,40,66,6.0,B,4
Semester 2,246BIA73060,CS101,Mathematics,39,30,69,7.7,B+,4
Semester 2,246BIA73060,CS102,Physics,48,41,89,9.4,A+,4
Semester 2,246BIA73060,CS103,Chemistry,43,32,75,6.5,B,4
Semester 2,246BIA73060,CS201,Data Structures,42,25,67,6.5,B,4
Semester 2,246BIA73060,CS202,Operating Systems,33,33,66,7.5,B+,4
Semester 2,246BIA73060,CS203,Database Systems,38,36,74,6.8,B,4
Semester 2,246BIA73060,CS301,Machine Learning,40,37,77,8.2,A,4
Semester 2,246BIA73060,CS302,Computer Networks,35,42,77,7.6,B+,4
Semester 2,246BIA73060,CS303,Software Engineering,47,50,97,8.9,A,4
Semester 2,246BIA73060,CS304,Artificial Intelligence,49,43,92,9.2,A+,4
Semester 3,246BIA73001,CS101,Mathematics,45,29,74,7.8,B+,4
Semester 3,246BIA73001,CS102,Physics,25,46,71,6.9,B,4
Semester 3,246BIA73001,CS103,Chemistry,42,45,87,7.8,B+,4
Semester 3,246BIA73001,CS201,Data Structures,31,29,60,7.0,B+,4
Semester 3,246BIA73001,CS202,Operating Systems,48,36,84,8.8,A,4
Semester 3,246BIA73001,CS203,Database Systems,29,44,73,7.1,B+,4
Semester 3,246BIA73001,CS301,Machine Learning,49,37,86,7.8,B+,4
Semester 3,246BIA73001,CS302,Computer Networks,45,45,90,8.1,A,4
Semester 3,246BIA73001,CS303,Software Engineering,32,29,61,7.0,B+,4
Semester 3,246BIA73001,CS304,Artificial Intelligence,34,46,80,8.0,A,4
Semester 3,246BIA73002,CS101,Mathematics,38,39,77,7.2,B+,4
Semester 3,246BIA73002,CS102,Physics,42,43,85,8.1,A,4
Semester 3,246BIA73002,CS103,Chemistry,44,31,75,6.9,B,4
Semester 3,246BIA73002,CS201,Data Structures,32,50,82,7.8,B+,4
Semester 3,246BIA73002,CS202,Operating Systems,35,31,66,5.9,C+,4
Semester 3,246BIA73002,CS203,Database Systems,35,26,61,5.8,C+,4
Semester 3,246BIA73002,CS301,Machine Learning,50,28,78,8.2,A,4
Semester 3,246BIA73002,CS302,Computer Networks,31,45,76,8.3,A,4
Semester 3,246BIA73002,CS303,Software Engineering,32,39,71,7.3,B+,4
Semester 3,246BIA73002,CS304,Artificial Intelligence,38,25,63,5.8,C+,4
Semester 3,246BIA73003,CS101,Mathematics,40,49,89,8.9,A,4
Semester 3,246BIA73003,CS102,Physics,36,28,64,6.7,B,4
Semester 3,246BIA73003,CS103,Chemistry,47,47,94,9.8,A+,4
Semester 3,246BIA73003,CS201,Data Structures,44,27,71,7.1,B+,4
Semester 3,246BIA73003,CS202,Operating Systems,35,32,67,7.3,B+,4
Semester 3,246BIA73003,CS203,Database Systems,38,29,67,6.0,B,4
Semester 3,246BIA73003,CS301,Machine Learning,48,43,91,8.9,A,4
Semester 3,246BIA73003,CS302,Computer Networks,43,34,77,7.7,B+,4
Semester 3,246BIA73003,CS303,Software Engineering,47,35,82,9.0,A+,4
Semester 3,246BIA73003,CS304,Artificial Intelligence,36,43,79,7.6,B+,4
Semester 3,246BIA73004,CS101,Mathematics,35,31,66,6.8,B,4
Semester 3,246BIA73004,CS102,Physics,43,49,92,9.4,A+,4
Semester 3,246BIA73004,CS103,Chemistry,40,33,73,6.9,B,4
Semester 3,246BIA73004,CS201,Data Structures,33,39,72,8.2,A,4
Semester 3,246BIA73004,CS202,Operating Systems,37,30,67,5.9,C+,4
Semester 3,246BIA73004,CS203,Database Systems,42,35,77,8.1,A,4
Semester 3,246BIA73004,CS301,Machine Learning,31,48,79,7.9,B+,4
Semester 3,246BIA73004,CS302,Computer Networks,31,25,56,5.8,C+,4
Semester 3,246BIA73004,CS303,Software Engineering,49,45,94,8.9,A,4
Semester 3,246BIA73004,CS304,Artificial Intelligence,48,35,83,9.0,A+,4
Semester 3,246BIA73005,CS101,Mathematics,39,47,86,9.3,A+,4
Semester 3,246BIA73005,CS102,Physics,26,27,53,4.8,C,4
Semester 3,246BIA73005,CS103,Chemistry,47,32,79,7.9,B+,4
Semester 3,246BIA73005,CS201,Data Structures,35,33,68,7.0,B+,4
Semester 3,246BIA73005,CS202,Operating Systems,32,35,67,7.0,B+,4
Semester 3,246BIA73005,CS203,Database Systems,50,25,75,8.3,A,4
Semester 3,246BIA73005,CS301,Machine Learning,47,37,84,7.5,B+,4
Semester 3,246BIA73005,CS302,Computer Networks,30,26,56,5.2,C+,4
Semester 3,246BIA73005,CS303,Software Engineering,48,35,83,8.2,A,4
Semester 3,246BIA73005,CS304,Artificial Intelligence,34,36,70,6.1,B,4
Semester 3,246BIA73006,CS101,Mathematics,40,45,85,8.3,A,4
Semester 3,246BIA73006,CS102,Physics,43,32,75,7.1,B+,4
Semester 3,246BIA73006,CS103,Chemistry,40,32,72,7.2,B+,4
Semester 3,246BIA73006,CS201,Data Structures,39,30,69,6.6,B,4
Semester 3,246BIA73006,CS202,Operating Systems,42,31,73,7.2,B+,4
Semester 3,246BIA73006,CS203,Database Systems,44,45,89,9.8,A+,4
Semester 3,246BIA73006,CS301,Machine Learning,44,32,76,8.1,A,4
Semester 3,246BIA73006,CS302,Computer Networks,33,29,62,6.3,B,4
Semester 3,246BIA73006,CS303,Software Engineering,40,37,77,8.3,A,4
Semester 3,246BIA73006,CS304,Artificial Intelligence,49,38,87,8.6,A,4
Semester 3,246BIA73007,CS101,Mathematics,42,37,79,7.2,B+,4
Semester 3,246BIA73007,CS102,Physics,44,42,86,8.1,A,4
Semester 3,246BIA73007,CS103,Chemistry,47,31,78,7.1,B+,4
Semester 3,246BIA73007,CS201,Data Structures,38,46,84,9.0,A+,4
Semester 3,246BIA73007,CS202,Operating Systems,25,34,59,5.5,C+,4
Semester 3,246BIA73007,CS203,Database Systems,32,33,65,5.5,C+,4
Semester 3,246BIA73007,CS301,Machine Learning,45,31,76,7.9,B+,4
Semester 3,246BIA73007,CS302,Computer Networks,43,26,69,7.6,B+,4
Semester 3,246BIA73007,CS303,Software Engineering,28,33,61,5.4,C+,4
Semester 3,246BIA73007,CS304,Artificial Intelligence,46,27,73,7.6,B+,4
Semester 3,246BIA73008,CS101,Mathematics,26,45,71,7.4,B+,4
Semester 3,246BIA73008,CS102,Physics,48,30,78,7.1,B+,4
Semester 3,246BIA73008,CS103,Chemistry,31,25,56,6.0,B,4
Semester 3,246BIA73008,CS201,Data Structures,30,45,75,8.1,A,4
Semester 3,246BIA73008,CS202,Operating Systems,38,35,73,7.4,B+,4
Semester 3,246BIA73008,CS203,Database Systems,27,49,76,8.2,A,4
Semester 3,246BIA73008,CS301,Machine Learning,35,38,73,8.2,A,4
Semester 3,246BIA73008,CS302,Computer Networks,47,43,90,9.1,A+,4
Semester 3,246BIA73008,CS303,Software Engineering,38,50,88,9.3,A+,4
Semester 3,246BIA73008,CS304,Artificial Intelligence,27,36,63,6.5,B,4
Semester 3,246BIA73009,CS101,Mathematics,45,39,84,7.8,B+,4
Semester 3,246BIA73009,CS102,Physics,28,42,70,6.3,B,4
Semester 3,246BIA73009,CS103,Chemistry,39,45,84,7.8,B+,4
Semester 3,246BIA73009,CS201,Data Structures,29,37,66,5.7,C+,4
Semester 3,246BIA73009,CS202,Operating Systems,31,25,56,4.9,C,4
Semester 3,246BIA73009,CS203,Database Systems,41,43,84,7.9,B+,4
Semester 3,246BIA73009,CS301,Machine Learning,44,32,76,6.9,B,4
Semester 3,246BIA73009,CS302,Computer Networks,38,28,66,7.4,B+,4
Semester 3,246BIA73009,CS303,Software Engineering,29,40,69,7.2,B+,4
Semester 3,246BIA73009,CS304,Artificial Intelligence,25,27,52,4.6,C,4
Semester 3,246BIA73010,CS101,Mathematics,35,32,67,7.0,B+,4
Semester 3,246BIA73010,CS102,Physics,32,28,60,6.5,B,4
Semester 3,246BIA73010,CS103,Chemistry,43,45,88,8.9,A,4
Semester 3,246BIA73010,CS201,Data Structures,48,49,97,9.3,A+,4
Semester 3,246BIA73010,CS202,Operating Systems,33,50,83,9.2,A+,4
Semester 3,246BIA73010,CS203,Database Systems,28,40,68,7.5,B+,4
Semester 3,246BIA73010,CS301,Machine Learning,34,31,65,7.1,B+,4
Semester 3,246BIA73010,CS302,Computer Networks,48,48,96,10.0,A+,4
Semester 3,246BIA73010,CS303,Software Engineering,26,40,66,7.0,B+,4
Semester 3,246BIA73010,CS304,Artificial Intelligence,26,30,56,6.2,B,4
Semester 3,246BIA73011,CS101,Mathematics,35,29,64,6.4,B,4
Semester 3,246BIA73011,CS102,Physics,35,45,80,8.4,A,4
Semester 3,246BIA73011,CS103,Chemistry,44,27,71,6.6,B,4
Semester 3,246BIA73011,CS201,Data Structures,29,25,54,5.0,C+,4
Semester 3,246BIA73011,CS202,Operating Systems,40,30,70,6.0,B,4
Semester 3,246BIA73011,CS203,Database Systems,41,49,90,8.6,A,4
Semester 3,246BIA73011,CS301,Machine Learning,27,26,53,5.0,C+,4
Semester 3,246BIA73011,CS302,Computer Networks,30,32,62,5.4,C+,4
Semester 3,246BIA73011,CS303,Software Engineering,41,31,72,6.9,B,4
Semester 3,246BIA73011,CS304,Artificial Intelligence,36,42,78,8.0,A,4
Semester 3,246BIA73012,CS101,Mathematics,32,34,66,5.9,C+,4
Semester 3,246BIA73012,CS102,Physics,31,32,63,7.2,B+,4
Semester 3,246BIA73012,CS103,Chemistry,40,41,81,8.8,A,4
Semester 3,246BIA73012,CS201,Data Structures,40,28,68,6.5,B,4
Semester 3,246BIA73012,CS202,Operating Systems,50,27,77,7.3,B+,4
Semester 3,246BIA73012,CS203,Database Systems,45,25,70,7.7,B+,4
Semester 3,246BIA73012,CS301,Machine Learning,47,37,84,9.0,A+,4
Semester 3,246BIA73012,CS302,Computer Networks,45,26,71,6.7,B,4
Semester 3,246BIA73012,CS303,Software Engineering,43,29,72,8.0,A,4
Semester 3,246BIA73012,CS304,Artificial Intelligence,50,43,93,9.6,A+,4
Semester 3,246BIA73013,CS101,Mathematics,31,49,80,8.2,A,4
Semester 3,246BIA73013,CS102,Physics,44,45,89,8.8,A,4
Semester 3,246BIA73013,CS103,Chemistry,46,43,89,9.6,A+,4
Semester 3,246BIA73013,CS201,Data Structures,26,37,63,7.3,B+,4
Semester 3,246BIA73013,CS202,Operating Systems,48,48,96,9.1,A+,4
Semester 3,246BIA73013,CS203,Database Systems,42,45,87,8.5,A,4
Semester 3,246BIA73013,CS301,Machine Learning,28,34,62,5.5,C+,4
Semester 3,246BIA73013,CS302,Computer Networks,44,40,84,8.5,A,4
Semester 3,246BIA73013,CS303,Software Engineering,31,44,75,6.8,B,4
Semester 3,246BIA73013,CS304,Artificial Intelligence,43,43,86,8.8,A,4
Semester 3,246BIA73014,CS101,Mathematics,35,40,75,8.4,A,4
Semester 3,246BIA73014,CS102,Physics,40,26,66,7.2,B+,4
Semester 3,246BIA73014,CS103,Chemistry,47,30,77,8.6,A,4
Semester 3,246BIA73014,CS201,Data Structures,42,45,87,9.4,A+,4
Semester 3,246BIA73014,CS202,Operating Systems,42,37,79,7.8,B+,4
Semester 3,246BIA73014,CS203,Database Systems,48,25,73,7.8,B+,4
Semester 3,246BIA73014,CS301,Machine Learning,33,40,73,6.4,B,4
Semester 3,246BIA73014,CS302,Computer Networks,28,41,69,7.5,B+,4
Semester 3,246BIA73014,CS303,Software Engineering,25,33,58,6.7,B,4
Semester 3,246BIA73014,CS304,Artificial Intelligence,27,26,53,5.9,C+,4
Semester 3,246BIA73015,CS101,Mathematics,45,38,83,7.6,B+,4
Semester 3,246BIA73015,CS102,Physics,41,49,90,8.1,A,4
Semester 3,246BIA73015,CS103,Chemistry,47,28,75,8.5,A,4
Semester 3,246BIA73015,CS201,Data Structures,29,31,60,5.5,C+,4
Semester 3,246BIA73015,CS202,Operating Systems,35,28,63,7.0,B+,4
Semester 3,246BIA73015,CS203,Database Systems,45,43,88,9.2,A+,4
Semester 3,246BIA73015,CS301,Machine Learning,44,37,81,8.7,A,4
Semester 3,246BIA73015,CS302,Computer Networks,50,32,82,8.4,A,4
Semester 3,246BIA73015,CS303,Software Engineering,47,40,87,9.6,A+,4
Semester 3,246BIA73015,CS304,Artificial Intelligence,30,37,67,6.5,B,4
Semester 3,246BIA73016,CS101,Mathematics,29,46,75,8.4,A,4
Semester 3,246BIA73016,CS102,Physics,45,47,92,9.2,A+,4
Semester 3,246BIA73016,CS103,Chemistry,33,40,73,6.6,B,4
Semester 3,246BIA73016,CS201,Data Structures,46,39,85,9.4,A+,4
Semester 3,246BIA73016,CS202,Operating Systems,48,27,75,8.5,A,4
Semester 3,246BIA73016,CS203,Database Systems,32,35,67,6.4,B,4
Semester 3,246BIA73016,CS301,Machine Learning,44,28,72,6.6,B,4
Semester 3,246BIA73016,CS302,Computer Networks,36,41,77,6.9,B,4
Semester 3,246BIA73016,CS303,Software Engineering,50,37,87,8.1,A,4
Semester 3,246BIA73016,CS304,Artificial Intelligence,27,41,68,7.3,B+,4
Semester 3,246BIA73017,CS101,Mathematics,49,26,75,7.4,B+,4
Semester 3,246BIA73017,CS102,Physics,31,32,63,6.6,B,4
Semester 3,246BIA73017,CS103,Chemistry,37,37,74,7.4,B+,4
Semester 3,246BIA73017,CS201,Data Structures,29,37,66,5.9,C+,4
Semester 3,246BIA73017,CS202,Operating Systems,50,26,76,6.9,B,4
Semester 3,246BIA73017,CS203,Database Systems,39,39,78,8.0,A,4
Semester 3,246BIA73017,CS301,Machine Learning,47,46,93,9.5,A+,4
Semester 3,246BIA73017,CS302,Computer Networks,40,36,76,7.4,B+,4
Semester 3,246BIA73017,CS303,Software Engineering,46,40,86,9.3,A+,4
Semester 3,246BIA73017,CS304,Artificial Intelligence,26,32,58,5.0,C+,4
Semester 3,246BIA73018,CS101,Mathematics,25,37,62,6.6,B,4
Semester 3,246BIA73018,CS102,Physics,32,48,80,8.1,A,4
